Matriks,asm,cont,idm,ent,core,var
0 derajat,0.0004600120425261223,0.999444290080643,0.29518178631252306,-11.621292522473414,3304640321726.1,0.6655492917516799
0 derajat,0.0007540539772911738,0.9965731221635905,0.3545397985605529,-10.896554534907025,2599579966437.8438,0.7785922820428419
0 derajat,0.0005170052922658714,0.9998147633602231,0.29157595085113835,-11.239999541073498,4237044560597.3345,0.43308858649406623
0 derajat,0.0005170052922658714,0.9998147633602231,0.29157595085113835,-11.239999541073498,4237044560597.3345,0.43308858649406623
45 derajat,0.00029235918691608435,0.9998610660873692,0.14563933713777105,-12.108166382374913,5717704585806.341,0.4614365579261709
90 derajat,0.000985760260998645,0.9998611111047845,0.06729677994847953,-10.487141712202403,1773187384626.8958,0.6032682110019735
135 derajat,0.0002500290990302554,0.9998610725254677,0.03212407325615976,-12.262959166968962,6155436721876.435,0.4606089730551641
Mean,0.0026409323585070417,3.2495484857078316,0.10440323808251895,-34.32895598152605,1893988740577.151,4.865113001333595
